"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 06- 05","301,800","297,300","306,500","292,500","62.34K","1.51%"
"2019- 06- 04","297,300","307,600","311,500","288,300","121.44K","-3.38%"
"2019- 06- 03","307,700","324,000","325,500","307,600","87.42K","-5.03%"
"2019- 06- 02","324,000","319,800","328,600","319,200","47.34K","1.35%"
"2019- 06- 01","319,700","324,400","333,700","316,700","72.43K","-1.45%"
"2019- 05- 31","324,400","312,500","325,100","300,600","116.60K","3.97%"
"2019- 05- 30","312,000","321,400","345,000","298,200","229.69K","-2.92%"
"2019- 05- 29","321,400","321,400","329,300","311,200","101.46K","0.00%"
"2019- 05- 28","321,400","321,200","326,400","316,200","82.14K","0.06%"
"2019- 05- 27","321,200","316,300","330,000","313,800","122.23K","1.55%"
"2019- 05- 26","316,300","299,500","320,300","292,900","110.10K","5.68%"
"2019- 05- 25","299,300","298,200","307,000","296,200","76.28K","0.37%"
"2019- 05- 24","298,200","295,800","303,500","290,800","111.05K","0.81%"
"2019- 05- 23","295,800","296,600","299,200","279,000","146.80K","-0.34%"
"2019- 05- 22","296,800","304,300","311,000","292,900","127.63K","-2.56%"
"2019- 05- 21","304,600","302,100","312,400","297,900","139.77K","0.83%"
"2019- 05- 20","302,100","308,700","308,700","290,000","141.35K","-2.14%"
"2019- 05- 19","308,700","283,100","312,700","282,000","208.15K","8.97%"
"2019- 05- 18","283,300","295,000","302,300","281,600","181.11K","-3.97%"
"2019- 05- 17","295,000","317,700","323,500","269,000","457.61K","-7.00%"
"2019- 05- 16","317,200","292,000","332,500","289,100","526.09K","8.63%"
"2019- 05- 15","292,000","259,900","293,800","259,300","291.96K","12.44%"
"2019- 05- 14","259,700","231,500","262,500","230,300","257.38K","12.18%"
"2019- 05- 13","231,500","220,600","241,300","217,400","189.43K","4.94%"
"2019- 05- 12","220,600","223,900","236,800","213,400","180.00K","-1.47%"
"2019- 05- 11","223,900","203,600","236,000","203,400","207.17K","9.97%"
"2019- 05- 10","203,600","200,900","206,800","198,500","81.60K","1.34%"
"2019- 05- 09","200,900","198,500","201,800","196,200","58.53K","1.21%"
"2019- 05- 08","198,500","195,200","200,200","190,800","60.82K","1.69%"
"2019- 05- 07","195,200","198,200","208,500","193,900","108.30K","-1.51%"
"2019- 05- 06","198,200","189,100","204,200","185,900","82.55K","4.81%"
"2019- 05- 05","189,100","188,500","190,400","185,100","25.45K","0.32%"
"2019- 05- 04","188,500","191,800","195,400","185,100","43.18K","-1.72%"
"2019- 05- 03","191,800","186,500","195,800","185,100","66.46K","2.84%"
"2019- 05- 02","186,500","184,400","188,000","183,400","34.32K","1.14%"
"2019- 05- 01","184,400","185,900","188,500","182,200","31.16K","-0.81%"
"2019- 04- 30","185,900","178,600","187,000","178,200","49.61K","4.09%"
"2019- 04- 29","178,600","182,600","183,700","175,000","48.55K","-2.19%"
"2019- 04- 28","182,600","183,400","185,600","182,000","34.82K","-0.44%"
"2019- 04- 27","183,400","182,600","186,300","180,900","26.01K","0.44%"
"2019- 04- 26","182,600","181,400","186,300","176,800","72.03K","0.66%"
"2019- 04- 25","181,400","195,500","196,300","180,800","66.08K","-7.21%"
"2019- 04- 24","195,500","198,600","199,600","190,300","76.44K","-1.56%"
"2019- 04- 23","198,600","198,700","204,900","196,900","76.15K","-0.05%"
"2019- 04- 22","198,700","197,300","200,500","195,800","47.06K","0.71%"
"2019- 04- 21","197,300","200,900","201,600","193,600","51.44K","-1.65%"
"2019- 04- 20","200,600","199,800","204,500","198,200","42.37K","0.40%"
"2019- 04- 19","199,800","199,500","200,500","195,200","49.20K","0.15%"
"2019- 04- 18","199,500","191,100","202,000","190,400","114.68K","4.40%"
"2019- 04- 17","191,100","192,600","194,500","189,900","59.64K","-0.68%"
"2019- 04- 16","192,400","185,600","192,900","184,800","48.19K","3.61%"
"2019- 04- 15","185,700","192,400","194,000","182,300","69.19K","-3.48%"
"2019- 04- 14","192,400","188,900","193,900","186,400","23.26K","1.85%"
"2019- 04- 13","188,900","190,900","192,200","185,200","38.43K","-1.00%"
"2019- 04- 12","190,800","190,200","191,800","181,000","58.26K","0.37%"
"2019- 04- 11","190,100","204,000","204,600","183,000","110.24K","-6.81%"
"2019- 04- 10","204,000","200,900","209,000","197,200","62.49K","1.29%"
"2019- 04- 09","201,400","206,100","206,500","198,700","41.40K","-2.38%"
"2019- 04- 08","206,300","196,400","211,300","195,200","149.61K","5.04%"
"2019- 04- 07","196,400","185,700","197,600","184,600","61.55K","5.76%"
"2019- 04- 06","185,700","184,300","193,600","179,200","61.31K","0.81%"
"2019- 04- 05","184,200","176,300","188,000","176,100","71.51K","4.48%"
"2019- 04- 04","176,300","181,100","184,600","172,700","79.48K","-2.65%"
"2019- 04- 03","181,100","179,100","195,600","172,000","196.39K","1.00%"
"2019- 04- 02","179,300","159,400","180,000","159,100","152.25K","12.48%"
"2019- 04- 01","159,400","159,300","160,200","157,900","75.13K","0.06%"
"2019- 03- 31","159,300","160,500","160,700","158,200","37.07K","-0.75%"
"2019- 03- 30","160,500","162,100","164,800","158,000","70.44K","-0.93%"
"2019- 03- 29","162,000","155,700","162,400","155,700","84.68K","4.05%"
"2019- 03- 28","155,700","156,900","157,000","155,100","43.58K","-0.76%"
"2019- 03- 27","156,900","152,700","157,700","152,400","82.59K","2.75%"
"2019- 03- 26","152,700","152,300","153,000","150,300","46.69K","0.20%"
"2019- 03- 25","152,400","154,300","155,300","150,100","58.04K","-1.23%"
"2019- 03- 24","154,300","154,600","155,400","153,200","38.89K","-0.26%"
"2019- 03- 23","154,700","153,200","155,400","153,000","33.50K","0.91%"
"2019- 03- 22","153,300","152,300","154,600","151,900","58.10K","0.66%"
"2019- 03- 21","152,300","156,000","156,700","150,000","76.60K","-2.37%"
"2019- 03- 20","156,000","155,000","156,300","153,200","65.02K","0.65%"
"2019- 03- 19","155,000","153,800","155,500","153,400","53.68K","0.78%"
"2019- 03- 18","153,800","154,100","157,700","152,400","78.92K","-0.19%"
"2019- 03- 17","154,100","156,100","156,100","152,200","39.08K","-1.28%"
